Weapon Class,Weapon,Base,1h R1 1,1h R1 2,1h R1 3,1h R1 4,1h R1 5,1h R1 6,1h R2 1,1h R2 2,1h Charged R2 1,1h Charged R2 2,1h Running R1,1h Running R2,1h Rolling R1,1h Backstep R1,1h Jumping R1,1h Jumping R2,1h Guard Counter,2h R1 1,2h R1 2,2h R1 3,2h R1 4,2h R1 5,2h R1 6,2h R2 1,2h R2 2,2h Charged R2 1,2h Charged R2 2,2h Running R1,2h Running R2,2h Rolling R1,2h Backstep R1,2h Jumping R1,2h Jumping R2,2h Guard Counter,Offhand R1 1,Offhand R1 2,Offhand R1 3,Offhand R1 4,Offhand R1 5,Offhand R1 6,BS Whiff,Backstab,Riposte,Backstab (Small PvE),Riposte (Small PvE),Riposte (Large PvE),Shieldpoke,1h Charged R2 1 Feint,1h Charged R2 2 Feint,2h Charged R2 1 Feint,2h Charged R2 2 Feint,Paired L1 1,Paired L1 2,Paired L1 3,Paired L1 4,Paired L1 5,Paired L1 6,Paired Running L1,Paired Rolling L1,Paired Backstep L1,Paired Jumping L1,,Mounted R1 1,Mounted R1 2,Mounted R1 3,Mounted R2,Mounted R2 Charging,Mounted Charged R2,Mounted L1 1,Mounted L1 2,Mounted L1 3,Mounted L2,Mounted L2 Charging,Mounted Charged L2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagger,Dagger,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Parrying Dagger,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Miséricorde,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Great Knife,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Bloodstained Dagger,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Erdsteel Dagger,3,100,100,100,100,100,200,100 + 100,100 + 100,200 + 400,150 + 150 + 300,100,200,100,100,150,400,600,130,130,130,130,130,260,110 + 110,110 + 110,220 + 440,165 + 165 + 330,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Fire Knight's Shortsword,3,100,100,100,100,100,200,100 + 100,100 + 100,200 + 400,150 + 150 + 300,100,200,100,100,150,400,600,130,130,130,130,130,260,110 + 110,110 + 110,220 + 440,165 + 165 + 330,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Wakizashi,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,40 + 80 (80 w/Katana),40 + 80 (160 w/Katana),40 + 80 (80 w/Katana),100 + 100 (200 w/Katana),,,40 + 80 (160 w/Katana),60 + 60 (120 w/Katana),80 + 40 (80 w/Katana),150 + 150 (300 w/Katana),,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Main-gauche,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60,60 + 60 + 60,60 + 60,120 + 60 + 120,,,60 + 60,60 + 60,120 + 120,100 + 100 + 100,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Celebrant's Sickle,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Ivory Sickle,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Crystal Knife,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Scorpion's Stinger,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Cinquedea,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Glintstone Kris,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Reduvia,3,100,100,100,100,100,200,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,130,260,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Blade of Calling,3,100,100,100,100,100,200,100 + 100,100 + 100,200 + 400,150 + 150 + 300,100,200,100,100,150,400,600,130,130,130,130,130,260,110 + 110,110 + 110,220 + 440,165 + 165 + 330,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
Dagger,Black Knife,3,100,100,100,100,100,200,100 + 100,100 + 100,200 + 400,150 + 150 + 300,100,200,100,100,150,400,600,130,130,130,130,130,260,110 + 110,110 + 110,220 + 440,165 + 165 + 330,130,220,130,130,195,440,660,100,100,100,100,100,200,100,0,0,0,0,0,,,,,,60 + 60 + 60,60 + 60,60 + 60,40 + 100 + 100,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,100,200,50,600,100,100,100,200,50,600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throwing Blade,Smithscript Dagger,2,100,100,100,100,100,200,200,200,300,300,100,200,100,100,150,200,300,55 + 55,55 + 55,55 + 55,55 + 55,55 + 55,110 + 110,110 + 110,110 + 110,160 + 160,160 + 160,55 + 55,110 + 110,55 + 55,55 + 55,83 + 83,110 + 110,160 + 160,100,100,100,100,100,200,0,0,0,0,0,0,,200,200,110 + 110,100 + 100,55 + 55,55 + 55,55 + 55,55 + 55,55 + 55,110 + 110,55 + 55,55 + 55,55 + 55,83 + 83,,100,100,200,200,,300,100,100,200,200,,300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straight Sword,Short Sword,5,100,100,100,100,200,,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,260,,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,200,,100,0,0,0,0,0,,,,,,60 + 60,60 + 60,60 + 60,120 + 120,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,200,200,50,600,100,100,200,200,50,600
Straight Sword,Longsword,5,100,100,100,100,200,,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,260,,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,200,,100,0,0,0,0,0,,,,,,60 + 60,60 + 60,60 + 60,120 + 120,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,200,200,50,600,100,100,200,200,50,600
Straight Sword,Broadsword,5,100,100,100,100,200,,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,260,,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,200,,100,0,0,0,0,0,,,,,,60 + 60,60 + 60,60 + 60,120 + 120,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,200,200,50,600,100,100,200,200,50,600
Straight Sword,Weathered Straight Sword,5,100,100,100,100,200,,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,260,,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,200,,100,0,0,0,0,0,,,,,,60 + 60,60 + 60,60 + 60,120 + 120,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,200,200,50,600,100,100,200,200,50,600
Straight Sword,Lordsworn's Straight Sword,5,100,100,100,100,200,,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,260,,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,200,,100,0,0,0,0,0,,,,,,60 + 60,60 + 60,60 + 60,120 + 120,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,200,200,50,600,100,100,200,200,50,600
Straight Sword,Noble's Slender Sword,5,100,100,100,100,200,,200,200,600,600,100,200,100,100,150,400,600,130,130,130,130,260,,220,220,660,660,130,220,130,130,195,440,660,100,100,100,100,200,,100,0,0,0,0,0,,,,,,60 + 60,60 + 60,60 + 60,120 + 120,,,60 + 60,60 + 60,60 + 60,150 + 150,,100,100,200,200,50,600,100,100,200,200,50,600
